,Num_Topics,Coherence_Score,Perplexity
0,1,0.2614579573235585,-8.073963965081768
1,2,0.3073841438907725,-8.024145412323339
2,3,0.3092896776867459,-8.03942836038024
3,4,0.3389805106140678,-8.02118718905222
4,5,0.3223028835046137,-8.037286729720007
5,6,0.31391171998716966,-8.054418066304185
6,7,0.3458944546557309,-8.03252467476815
7,8,0.32226477083575505,-8.043850235635409
8,9,0.3536718162055041,-8.051604682793776
9,10,0.33169140463495456,-8.058362927548227
10,11,0.33507994674579383,-8.052595182686623
11,12,0.36912889481022937,-8.058553269390302
12,13,0.319968192748282,-8.078324136416105
13,14,0.3376950067578668,-8.072486367879149
14,15,0.3391727742890128,-8.067201281631247
15,16,0.3333334838095381,-8.082925805492856
16,17,0.33780402192436915,-8.071004924809301
17,18,0.3191311194983982,-8.09275064116597
18,19,0.36270417047642356,-8.080376316446923
19,20,0.34737418409210685,-8.111219298761828
20,21,0.34928465633772665,-8.11453949481797
21,22,0.3632755013707095,-8.11946282697586
22,23,0.34399273660590657,-8.153724457871132
23,24,0.3201020683604788,-8.16322356693355
24,25,0.36854208565974134,-8.18787910802257
25,26,0.34933446124865636,-8.18480032272647
26,27,0.3459992531301437,-8.211600086743017
27,28,0.34807949297655,-8.222103180178129
28,29,0.3519706821980403,-8.2428643868124
29,30,0.3491223000079123,-8.271291245685168
30,31,0.3261937271139152,-8.252506854246212
31,32,0.3493368228543907,-8.303946586824145
32,33,0.3698144205321562,-8.304786173024867
33,34,0.35606913616657954,-8.318359343309897
34,35,0.33426213467685534,-8.330146693591447
35,36,0.3333297656327045,-8.347775128752751
36,37,0.3541004052598503,-8.366513267667507
37,38,0.3401157749217291,-8.357823213711956
38,39,0.3437683808271614,-8.427449643423667
